dataset,algorithm,level,alpha,beta,lambda,p@100
20News, SSB_VAE,0.1,0.001,1.0,0.000244,0.25554550000000004
20News, SSB_VAE,0.1,0.001,1.0,0.003906,0.253709
20News, SSB_VAE,0.1,0.001,1.0,0.015625,0.263536
20News, SSB_VAE,0.1,0.001,10000.0,0.000244,0.30867500000000003
20News, SSB_VAE,0.1,0.001,10000.0,0.003906,0.25778599999999996
20News, SSB_VAE,0.1,0.001,10000.0,0.015625,0.293409
20News, SSB_VAE,0.1,0.001,10000000.0,0.000244,0.26151450000000004
20News, SSB_VAE,0.1,0.001,10000000.0,0.003906,0.274272
20News, SSB_VAE,0.1,0.001,10000000.0,0.015625,0.256494
20News, SSB_VAE,0.1,10.0,1.0,0.000244,0.204741
20News, SSB_VAE,0.1,10.0,1.0,0.003906,0.211937
20News, SSB_VAE,0.1,10.0,1.0,0.015625,0.180995
20News, SSB_VAE,0.1,10.0,10000.0,0.000244,0.243198
20News, SSB_VAE,0.1,10.0,10000.0,0.003906,0.2526885
20News, SSB_VAE,0.1,10.0,10000.0,0.015625,0.2604115
20News, SSB_VAE,0.1,10.0,10000000.0,0.000244,0.46476399999999995
20News, SSB_VAE,0.1,10.0,10000000.0,0.003906,0.44788150000000004
20News, SSB_VAE,0.1,10.0,10000000.0,0.015625,0.4617845
20News, SSB_VAE,0.1,10000.0,1.0,0.000244,0.1734185
20News, SSB_VAE,0.1,10000.0,1.0,0.003906,0.20905800000000002
20News, SSB_VAE,0.1,10000.0,1.0,0.015625,0.193175
20News, SSB_VAE,0.1,10000.0,10000.0,0.000244,0.177804
20News, SSB_VAE,0.1,10000.0,10000.0,0.003906,0.1927305
20News, SSB_VAE,0.1,10000.0,10000.0,0.015625,0.1817955
20News, SSB_VAE,0.1,10000.0,10000000.0,0.000244,0.25791600000000003
20News, SSB_VAE,0.1,10000.0,10000000.0,0.003906,0.24907449999999998
20News, SSB_VAE,0.1,10000.0,10000000.0,0.015625,0.2604525
20News, SSB_VAE,0.2,0.001,1.0,0.000244,0.38287499999999997
20News, SSB_VAE,0.2,0.001,1.0,0.003906,0.402331
20News, SSB_VAE,0.2,0.001,1.0,0.015625,0.40638199999999997
20News, SSB_VAE,0.2,0.001,10000.0,0.000244,0.3492735
20News, SSB_VAE,0.2,0.001,10000.0,0.003906,0.35586999999999996
20News, SSB_VAE,0.2,0.001,10000.0,0.015625,0.27270700000000003
20News, SSB_VAE,0.2,0.001,10000000.0,0.000244,0.30512399999999995
20News, SSB_VAE,0.2,0.001,10000000.0,0.003906,0.3591355
20News, SSB_VAE,0.2,0.001,10000000.0,0.015625,0.4016085
20News, SSB_VAE,0.2,10.0,1.0,0.000244,0.209875
20News, SSB_VAE,0.2,10.0,1.0,0.003906,0.224275
20News, SSB_VAE,0.2,10.0,1.0,0.015625,0.17835050000000002
20News, SSB_VAE,0.2,10.0,10000.0,0.000244,0.422658
20News, SSB_VAE,0.2,10.0,10000.0,0.003906,0.41986500000000004
20News, SSB_VAE,0.2,10.0,10000.0,0.015625,0.428833
20News, SSB_VAE,0.2,10.0,10000000.0,0.000244,0.5274030000000001
20News, SSB_VAE,0.2,10.0,10000000.0,0.003906,0.476085
20News, SSB_VAE,0.2,10.0,10000000.0,0.015625,0.5736654999999999
20News, SSB_VAE,0.2,10000.0,1.0,0.000244,0.19052750000000002
20News, SSB_VAE,0.2,10000.0,1.0,0.003906,0.2035455
20News, SSB_VAE,0.2,10000.0,1.0,0.015625,0.184084
20News, SSB_VAE,0.2,10000.0,10000.0,0.000244,0.1971975
20News, SSB_VAE,0.2,10000.0,10000.0,0.003906,0.2066915
20News, SSB_VAE,0.2,10000.0,10000.0,0.015625,0.1757305
20News, SSB_VAE,0.2,10000.0,10000000.0,0.000244,0.4280575
20News, SSB_VAE,0.2,10000.0,10000000.0,0.003906,0.44646399999999997
20News, SSB_VAE,0.2,10000.0,10000000.0,0.015625,0.4498745
20News, SSB_VAE,0.3,0.001,1.0,0.000244,0.50571
20News, SSB_VAE,0.3,0.001,1.0,0.003906,0.5175205
20News, SSB_VAE,0.3,0.001,1.0,0.015625,0.539358
20News, SSB_VAE,0.3,0.001,10000.0,0.000244,0.420991
20News, SSB_VAE,0.3,0.001,10000.0,0.003906,0.4496675
20News, SSB_VAE,0.3,0.001,10000.0,0.015625,0.412752
20News, SSB_VAE,0.3,0.001,10000000.0,0.000244,0.2645365
20News, SSB_VAE,0.3,0.001,10000000.0,0.003906,0.3999455
20News, SSB_VAE,0.3,0.001,10000000.0,0.015625,0.4339695
20News, SSB_VAE,0.3,10.0,1.0,0.000244,0.205304
20News, SSB_VAE,0.3,10.0,1.0,0.003906,0.2106625
20News, SSB_VAE,0.3,10.0,1.0,0.015625,0.1711725
20News, SSB_VAE,0.3,10.0,10000.0,0.000244,0.530653
20News, SSB_VAE,0.3,10.0,10000.0,0.003906,0.5338225
20News, SSB_VAE,0.3,10.0,10000.0,0.015625,0.531944
20News, SSB_VAE,0.3,10.0,10000000.0,0.000244,0.493897
20News, SSB_VAE,0.3,10.0,10000000.0,0.003906,0.586486
20News, SSB_VAE,0.3,10.0,10000000.0,0.015625,0.5821975
20News, SSB_VAE,0.3,10000.0,1.0,0.000244,0.18095699999999998
20News, SSB_VAE,0.3,10000.0,1.0,0.003906,0.2066465
20News, SSB_VAE,0.3,10000.0,1.0,0.015625,0.19911
20News, SSB_VAE,0.3,10000.0,10000.0,0.000244,0.1962105
20News, SSB_VAE,0.3,10000.0,10000.0,0.003906,0.201599
20News, SSB_VAE,0.3,10000.0,10000.0,0.015625,0.1779865
20News, SSB_VAE,0.3,10000.0,10000000.0,0.000244,0.525438
20News, SSB_VAE,0.3,10000.0,10000000.0,0.003906,0.5217419999999999
20News, SSB_VAE,0.3,10000.0,10000000.0,0.015625,0.518154
20News, SSB_VAE,0.4,0.001,1.0,0.000244,0.55319
20News, SSB_VAE,0.4,0.001,1.0,0.003906,0.5873865
20News, SSB_VAE,0.4,0.001,1.0,0.015625,0.5949525
20News, SSB_VAE,0.4,0.001,10000.0,0.000244,0.4340675
20News, SSB_VAE,0.4,0.001,10000.0,0.003906,0.47395550000000003
20News, SSB_VAE,0.4,0.001,10000.0,0.015625,0.4238905
20News, SSB_VAE,0.4,0.001,10000000.0,0.000244,0.287925
20News, SSB_VAE,0.4,0.001,10000000.0,0.003906,0.5065169999999999
20News, SSB_VAE,0.4,0.001,10000000.0,0.015625,0.5160564999999999
20News, SSB_VAE,0.4,10.0,1.0,0.000244,0.21252000000000001
20News, SSB_VAE,0.4,10.0,1.0,0.003906,0.2088225
20News, SSB_VAE,0.4,10.0,1.0,0.015625,0.17759400000000003
20News, SSB_VAE,0.4,10.0,10000.0,0.000244,0.5641370000000001
20News, SSB_VAE,0.4,10.0,10000.0,0.003906,0.5833545
20News, SSB_VAE,0.4,10.0,10000.0,0.015625,0.5757485
20News, SSB_VAE,0.4,10.0,10000000.0,0.000244,0.572849
20News, SSB_VAE,0.4,10.0,10000000.0,0.003906,0.5690325
20News, SSB_VAE,0.4,10.0,10000000.0,0.015625,0.558175
20News, SSB_VAE,0.4,10000.0,1.0,0.000244,0.1795505
20News, SSB_VAE,0.4,10000.0,1.0,0.003906,0.21595949999999997
20News, SSB_VAE,0.4,10000.0,1.0,0.015625,0.19639
20News, SSB_VAE,0.4,10000.0,10000.0,0.000244,0.173252
20News, SSB_VAE,0.4,10000.0,10000.0,0.003906,0.195874
20News, SSB_VAE,0.4,10000.0,10000.0,0.015625,0.1881625
20News, SSB_VAE,0.4,10000.0,10000000.0,0.000244,0.573825
20News, SSB_VAE,0.4,10000.0,10000000.0,0.003906,0.5934515
20News, SSB_VAE,0.4,10000.0,10000000.0,0.015625,0.569283
20News, SSB_VAE,0.5,0.001,1.0,0.000244,0.612129
20News, SSB_VAE,0.5,0.001,1.0,0.003906,0.612957
20News, SSB_VAE,0.5,0.001,1.0,0.015625,0.6177045
20News, SSB_VAE,0.5,0.001,10000.0,0.000244,0.41275249999999997
20News, SSB_VAE,0.5,0.001,10000.0,0.003906,0.556258
20News, SSB_VAE,0.5,0.001,10000.0,0.015625,0.491213
20News, SSB_VAE,0.5,0.001,10000000.0,0.000244,0.3086855
20News, SSB_VAE,0.5,0.001,10000000.0,0.003906,0.500451
20News, SSB_VAE,0.5,0.001,10000000.0,0.015625,0.5218445
20News, SSB_VAE,0.5,10.0,1.0,0.000244,0.210841
20News, SSB_VAE,0.5,10.0,1.0,0.003906,0.22744949999999997
20News, SSB_VAE,0.5,10.0,1.0,0.015625,0.18458249999999998
20News, SSB_VAE,0.5,10.0,10000.0,0.000244,0.613116
20News, SSB_VAE,0.5,10.0,10000.0,0.003906,0.6238429999999999
20News, SSB_VAE,0.5,10.0,10000.0,0.015625,0.6272835
20News, SSB_VAE,0.5,10.0,10000000.0,0.000244,0.5962635000000001
20News, SSB_VAE,0.5,10.0,10000000.0,0.003906,0.6057254999999999
20News, SSB_VAE,0.5,10.0,10000000.0,0.015625,0.6181909999999999
20News, SSB_VAE,0.5,10000.0,1.0,0.000244,0.185717
20News, SSB_VAE,0.5,10000.0,1.0,0.003906,0.2139205
20News, SSB_VAE,0.5,10000.0,1.0,0.015625,0.193419
20News, SSB_VAE,0.5,10000.0,10000.0,0.000244,0.180822
20News, SSB_VAE,0.5,10000.0,10000.0,0.003906,0.19401200000000002
20News, SSB_VAE,0.5,10000.0,10000.0,0.015625,0.17880300000000002
20News, SSB_VAE,0.5,10000.0,10000000.0,0.000244,0.6092015000000001
20News, SSB_VAE,0.5,10000.0,10000000.0,0.003906,0.6101715000000001
20News, SSB_VAE,0.5,10000.0,10000000.0,0.015625,0.6072465
20News, SSB_VAE,0.6,0.001,1.0,0.000244,0.6394195
20News, SSB_VAE,0.6,0.001,1.0,0.003906,0.6572024999999999
20News, SSB_VAE,0.6,0.001,1.0,0.015625,0.6591755
20News, SSB_VAE,0.6,0.001,10000.0,0.000244,0.495859
20News, SSB_VAE,0.6,0.001,10000.0,0.003906,0.5164175
20News, SSB_VAE,0.6,0.001,10000.0,0.015625,0.5203450000000001
20News, SSB_VAE,0.6,0.001,10000000.0,0.000244,0.393802
20News, SSB_VAE,0.6,0.001,10000000.0,0.003906,0.6062704999999999
20News, SSB_VAE,0.6,0.001,10000000.0,0.015625,0.5517354999999999
20News, SSB_VAE,0.6,10.0,1.0,0.000244,0.2111655
20News, SSB_VAE,0.6,10.0,1.0,0.003906,0.21973399999999998
20News, SSB_VAE,0.6,10.0,1.0,0.015625,0.1770965
20News, SSB_VAE,0.6,10.0,10000.0,0.000244,0.6431175
20News, SSB_VAE,0.6,10.0,10000.0,0.003906,0.6561725
20News, SSB_VAE,0.6,10.0,10000.0,0.015625,0.6616195
20News, SSB_VAE,0.6,10.0,10000000.0,0.000244,0.6003435
20News, SSB_VAE,0.6,10.0,10000000.0,0.003906,0.6839165
20News, SSB_VAE,0.6,10.0,10000000.0,0.015625,0.6332115
20News, SSB_VAE,0.6,10000.0,1.0,0.000244,0.18251250000000002
20News, SSB_VAE,0.6,10000.0,1.0,0.003906,0.197287
20News, SSB_VAE,0.6,10000.0,1.0,0.015625,0.19500699999999999
20News, SSB_VAE,0.6,10000.0,10000.0,0.000244,0.196727
20News, SSB_VAE,0.6,10000.0,10000.0,0.003906,0.198048
20News, SSB_VAE,0.6,10000.0,10000.0,0.015625,0.188176
20News, SSB_VAE,0.6,10000.0,10000000.0,0.000244,0.6574645
20News, SSB_VAE,0.6,10000.0,10000000.0,0.003906,0.6551525
20News, SSB_VAE,0.6,10000.0,10000000.0,0.015625,0.6424565
20News, SSB_VAE,0.7,0.001,1.0,0.000244,0.6786505
20News, SSB_VAE,0.7,0.001,1.0,0.003906,0.683679
20News, SSB_VAE,0.7,0.001,1.0,0.015625,0.6795869999999999
20News, SSB_VAE,0.7,0.001,10000.0,0.000244,0.4740485
20News, SSB_VAE,0.7,0.001,10000.0,0.003906,0.588781
20News, SSB_VAE,0.7,0.001,10000.0,0.015625,0.5594055
20News, SSB_VAE,0.7,0.001,10000000.0,0.000244,0.4086425
20News, SSB_VAE,0.7,0.001,10000000.0,0.003906,0.6433409999999999
20News, SSB_VAE,0.7,0.001,10000000.0,0.015625,0.5632565
20News, SSB_VAE,0.7,10.0,1.0,0.000244,0.203167
20News, SSB_VAE,0.7,10.0,1.0,0.003906,0.21345550000000002
20News, SSB_VAE,0.7,10.0,1.0,0.015625,0.1664545
20News, SSB_VAE,0.7,10.0,10000.0,0.000244,0.669373
20News, SSB_VAE,0.7,10.0,10000.0,0.003906,0.680597
20News, SSB_VAE,0.7,10.0,10000.0,0.015625,0.684106
20News, SSB_VAE,0.7,10.0,10000000.0,0.000244,0.598247
20News, SSB_VAE,0.7,10.0,10000000.0,0.003906,0.6942269999999999
20News, SSB_VAE,0.7,10.0,10000000.0,0.015625,0.6389325
20News, SSB_VAE,0.7,10000.0,1.0,0.000244,0.18195050000000001
20News, SSB_VAE,0.7,10000.0,1.0,0.003906,0.21880850000000002
20News, SSB_VAE,0.7,10000.0,1.0,0.015625,0.20158399999999999
20News, SSB_VAE,0.7,10000.0,10000.0,0.000244,0.1964725
20News, SSB_VAE,0.7,10000.0,10000.0,0.003906,0.20696
20News, SSB_VAE,0.7,10000.0,10000.0,0.015625,0.185668
20News, SSB_VAE,0.7,10000.0,10000000.0,0.000244,0.6713155000000001
20News, SSB_VAE,0.7,10000.0,10000000.0,0.003906,0.6877519999999999
20News, SSB_VAE,0.7,10000.0,10000000.0,0.015625,0.6554605
20News, SSB_VAE,0.8,0.001,1.0,0.000244,0.6936515000000001
20News, SSB_VAE,0.8,0.001,1.0,0.003906,0.6907485
20News, SSB_VAE,0.8,0.001,1.0,0.015625,0.7216944999999999
20News, SSB_VAE,0.8,0.001,10000.0,0.000244,0.5069015
20News, SSB_VAE,0.8,0.001,10000.0,0.003906,0.6663509999999999
20News, SSB_VAE,0.8,0.001,10000.0,0.015625,0.6052645
20News, SSB_VAE,0.8,0.001,10000000.0,0.000244,0.380829
20News, SSB_VAE,0.8,0.001,10000000.0,0.003906,0.675405
20News, SSB_VAE,0.8,0.001,10000000.0,0.015625,0.5069805000000001
20News, SSB_VAE,0.8,10.0,1.0,0.000244,0.2080165
20News, SSB_VAE,0.8,10.0,1.0,0.003906,0.21491
20News, SSB_VAE,0.8,10.0,1.0,0.015625,0.1809635
20News, SSB_VAE,0.8,10.0,10000.0,0.000244,0.6929755
20News, SSB_VAE,0.8,10.0,10000.0,0.003906,0.7044125
20News, SSB_VAE,0.8,10.0,10000.0,0.015625,0.7045665000000001
20News, SSB_VAE,0.8,10.0,10000000.0,0.000244,0.6145784999999999
20News, SSB_VAE,0.8,10.0,10000000.0,0.003906,0.7182425000000001
20News, SSB_VAE,0.8,10.0,10000000.0,0.015625,0.640048
20News, SSB_VAE,0.8,10000.0,1.0,0.000244,0.1837115
20News, SSB_VAE,0.8,10000.0,1.0,0.003906,0.2037895
20News, SSB_VAE,0.8,10000.0,1.0,0.015625,0.1998255
20News, SSB_VAE,0.8,10000.0,10000.0,0.000244,0.175491
20News, SSB_VAE,0.8,10000.0,10000.0,0.003906,0.192388
20News, SSB_VAE,0.8,10000.0,10000.0,0.015625,0.186983
20News, SSB_VAE,0.8,10000.0,10000000.0,0.000244,0.6979795
20News, SSB_VAE,0.8,10000.0,10000000.0,0.003906,0.688758
20News, SSB_VAE,0.8,10000.0,10000000.0,0.015625,0.6843455
20News, SSB_VAE,0.9,0.001,1.0,0.000244,0.7069095
20News, SSB_VAE,0.9,0.001,1.0,0.003906,0.7276024999999999
20News, SSB_VAE,0.9,0.001,1.0,0.015625,0.7173514999999999
20News, SSB_VAE,0.9,0.001,10000.0,0.000244,0.4964615
20News, SSB_VAE,0.9,0.001,10000.0,0.003906,0.6743950000000001
20News, SSB_VAE,0.9,0.001,10000.0,0.015625,0.6560684999999999
20News, SSB_VAE,0.9,0.001,10000000.0,0.000244,0.44537099999999996
20News, SSB_VAE,0.9,0.001,10000000.0,0.003906,0.6888494999999999
20News, SSB_VAE,0.9,0.001,10000000.0,0.015625,0.483257
20News, SSB_VAE,0.9,10.0,1.0,0.000244,0.2006055
20News, SSB_VAE,0.9,10.0,1.0,0.003906,0.22344599999999998
20News, SSB_VAE,0.9,10.0,1.0,0.015625,0.17472749999999998
20News, SSB_VAE,0.9,10.0,10000.0,0.000244,0.7169669999999999
20News, SSB_VAE,0.9,10.0,10000.0,0.003906,0.7266900000000001
20News, SSB_VAE,0.9,10.0,10000.0,0.015625,0.722837
20News, SSB_VAE,0.9,10.0,10000000.0,0.000244,0.6170925
20News, SSB_VAE,0.9,10.0,10000000.0,0.003906,0.754877
20News, SSB_VAE,0.9,10.0,10000000.0,0.015625,0.644264
20News, SSB_VAE,0.9,10000.0,1.0,0.000244,0.1748825
20News, SSB_VAE,0.9,10000.0,1.0,0.003906,0.198206
20News, SSB_VAE,0.9,10000.0,1.0,0.015625,0.197357
20News, SSB_VAE,0.9,10000.0,10000.0,0.000244,0.1751455
20News, SSB_VAE,0.9,10000.0,10000.0,0.003906,0.21012150000000002
20News, SSB_VAE,0.9,10000.0,10000.0,0.015625,0.1914025
20News, SSB_VAE,0.9,10000.0,10000000.0,0.000244,0.715082
20News, SSB_VAE,0.9,10000.0,10000000.0,0.003906,0.7315445
20News, SSB_VAE,0.9,10000.0,10000000.0,0.015625,0.6961275
20News, SSB_VAE,1.0,0.001,1.0,0.000244,0.724287
20News, SSB_VAE,1.0,0.001,1.0,0.003906,0.734542
20News, SSB_VAE,1.0,0.001,1.0,0.015625,0.741377
20News, SSB_VAE,1.0,0.001,10000.0,0.000244,0.545819
20News, SSB_VAE,1.0,0.001,10000.0,0.003906,0.645157
20News, SSB_VAE,1.0,0.001,10000.0,0.015625,0.6448475
20News, SSB_VAE,1.0,0.001,10000000.0,0.000244,0.4593525
20News, SSB_VAE,1.0,0.001,10000000.0,0.003906,0.6996635
20News, SSB_VAE,1.0,0.001,10000000.0,0.015625,0.56101
20News, SSB_VAE,1.0,10.0,1.0,0.000244,0.20975500000000002
20News, SSB_VAE,1.0,10.0,1.0,0.003906,0.204549
20News, SSB_VAE,1.0,10.0,1.0,0.015625,0.1775
20News, SSB_VAE,1.0,10.0,10000.0,0.000244,0.7319545000000001
20News, SSB_VAE,1.0,10.0,10000.0,0.003906,0.7368295
20News, SSB_VAE,1.0,10.0,10000.0,0.015625,0.7465965
20News, SSB_VAE,1.0,10.0,10000000.0,0.000244,0.6318090000000001
20News, SSB_VAE,1.0,10.0,10000000.0,0.003906,0.7471209999999999
20News, SSB_VAE,1.0,10.0,10000000.0,0.015625,0.7205085
20News, SSB_VAE,1.0,10000.0,1.0,0.000244,0.18055350000000003
20News, SSB_VAE,1.0,10000.0,1.0,0.003906,0.2016845
20News, SSB_VAE,1.0,10000.0,1.0,0.015625,0.1956465
20News, SSB_VAE,1.0,10000.0,10000.0,0.000244,0.1800575
20News, SSB_VAE,1.0,10000.0,10000.0,0.003906,0.2080205
20News, SSB_VAE,1.0,10000.0,10000.0,0.015625,0.1787965
20News, SSB_VAE,1.0,10000.0,10000000.0,0.000244,0.7377495
20News, SSB_VAE,1.0,10000.0,10000000.0,0.003906,0.7359325
20News, SSB_VAE,1.0,10000.0,10000000.0,0.015625,0.7022685
